group,names,scores,logfoldchanges,pvals_adj
9,S100A8,11.412159,2.6336365,2.1628372079314425e-27
9,SLC9A3R1,11.367281,0.7953111,3.5164734903239176e-27
9,COPS9,11.165686,0.806871,3.194820621011255e-26
9,MTHFD2,11.084446,1.2750212,7.363461675051705e-26
9,COX7C,11.009802,0.66333103,1.6505429740907881e-25
9,BZW1,10.996839,1.1577705,1.8614743681071966e-25
9,NME2,10.905087,0.53601414,4.791957930540422e-25
9,UGCG,10.900665,1.2809578,4.923625366258094e-25
9,TMCO1,10.809318,1.1112964,1.3103022685436056e-24
9,KRT15,10.802167,2.0369415,1.3875817858081735e-24
9,CD44,10.785893,1.2135043,1.6233565161020123e-24
9,RPL19,10.478193,0.34627366,4.151923636000102e-23
9,PDCD4,10.434807,1.1665034,6.323550235509663e-23
9,APOD,10.414062,1.3534304,7.642193571504857e-23
9,P4HB,10.413404,0.58948743,7.642193571504857e-23
9,PRLR,10.4036255,1.2593533,8.322823367961827e-23
9,CYB5A,10.373151,1.0513546,1.1261252278039885e-22
9,VTCN1,10.342727,1.8269395,1.5219438119393275e-22
9,DUSP5,10.328627,1.6437476,1.7341763196582845e-22
9,SPCS1,10.294109,0.89762676,2.443620167209002e-22
9,ERP27,10.134865,1.7349476,1.2038825891770632e-21
9,SNHG25,10.123291,0.9570422,1.334599477177688e-21
9,PDIA6,10.116393,0.98685145,1.410681943436751e-21
9,MRPS30,10.075988,1.3994871,2.0982886695288538e-21
10,IGFBP7,20.697369,2.536332,7.398508973029249e-91
10,VWF,17.578588,3.2998307,3.6345981955580487e-65
10,VIM,17.431305,1.7530602,3.2187223972140614e-64
10,SPARCL1,17.295992,3.0057888,2.549761858111568e-63
10,A2M,17.212465,2.2042382,8.661016058255247e-63
10,ENG,17.197203,2.59206,9.393335951678708e-63
10,HSPG2,16.545937,2.306436,4.948843043624772e-58
10,TIMP1,16.476463,1.9958926,1.3692633400859758e-57
10,AQP1,16.224884,3.115032,7.558577923338694e-56
10,PECAM1,15.349836,2.908361,6.52866087917558e-50
10,ACKR1,14.655378,3.7183523,1.93633306637404e-45
10,IGFBP4,14.3930645,1.143973,7.712977172873809e-44
10,HLA-E,14.262668,1.0871497,4.448148508653708e-43
10,COL18A1,13.933019,1.893473,4.248569210364873e-41
10,CD74,13.732429,0.99294543,6.565046108476555e-40
10,CCL19,13.517914,2.9862814,1.1807863803584028e-38
10,TMSB10,13.282627,0.5434623,2.567415881917011e-37
10,ID3,13.070892,2.1459951,3.61771534343611e-36
10,FLNA,13.00976,1.3816446,7.777918498249546e-36
10,HLA-DRB1,12.842555,1.1612465,6.604289540575509e-35
